Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.39,-.53,-.23,-.30,-.05,-.18,-.21,-.25,-.24,-.30,-.43,-.42,-.29,***,***,-.19,-.21,-.32
1881,-.30,-.24,-.05,-.02,.05,-.33,.10,-.04,-.28,-.44,-.36,-.23,-.18,-.19,-.32,-.01,-.09,-.36
1882,.26,.21,.02,-.30,-.23,-.28,-.28,-.14,-.24,-.51,-.33,-.68,-.21,-.17,.08,-.17,-.23,-.36
1883,-.58,-.66,-.15,-.30,-.25,-.11,-.05,-.22,-.34,-.16,-.44,-.15,-.29,-.33,-.64,-.24,-.13,-.31
1884,-.16,-.11,-.64,-.59,-.36,-.41,-.41,-.51,-.45,-.44,-.57,-.47,-.43,-.40,-.14,-.53,-.44,-.49
1885,-1.01,-.45,-.23,-.49,-.58,-.45,-.34,-.41,-.40,-.37,-.38,-.11,-.43,-.46,-.64,-.43,-.40,-.38
1886,-.75,-.84,-.71,-.37,-.34,-.37,-.14,-.43,-.33,-.31,-.40,-.22,-.43,-.42,-.57,-.47,-.31,-.35
1887,-1.08,-.71,-.44,-.38,-.25,-.20,-.24,-.54,-.21,-.49,-.27,-.43,-.44,-.42,-.67,-.36,-.33,-.32
1888,-.49,-.61,-.64,-.22,-.15,-.03,.00,-.21,-.20,-.03,-.01,-.24,-.24,-.25,-.51,-.33,-.08,-.08
1889,-.28,.29,-.02,.16,-.04,-.07,-.08,-.20,-.30,-.41,-.62,-.55,-.18,-.15,-.08,.04,-.12,-.44
1890,-.63,-.57,-.47,-.25,-.35,-.16,-.23,-.39,-.35,-.10,-.62,-.47,-.38,-.39,-.59,-.36,-.26,-.36
1891,-.46,-.69,-.16,-.36,-.15,-.12,-.12,-.13,-.08,-.28,-.53,-.04,-.26,-.30,-.54,-.22,-.13,-.30
1892,-.50,-.17,-.67,-.45,-.24,-.06,-.38,-.33,-.20,-.28,-.83,-.65,-.40,-.35,-.24,-.46,-.26,-.44
1893,-1.52,-.97,-.32,-.30,-.43,-.19,-.14,-.34,-.29,-.28,-.34,-.62,-.48,-.48,-1.05,-.35,-.22,-.30
1894,-.92,-.43,-.22,-.55,-.27,-.41,-.21,-.27,-.33,-.28,-.49,-.36,-.39,-.41,-.66,-.34,-.30,-.37
1895,-.71,-.81,-.50,-.19,-.30,-.20,-.19,-.28,-.06,-.09,-.13,-.22,-.31,-.32,-.63,-.33,-.22,-.09
1896,-.36,-.18,-.49,-.60,-.16,.08,.01,-.11,-.12,.05,-.20,-.21,-.19,-.19,-.25,-.42,-.01,-.09
1897,-.39,-.42,-.39,-.05,.14,-.06,.05,-.06,-.06,-.15,-.25,-.28,-.16,-.16,-.34,-.10,-.02,-.16
1898,.06,-.44,-.80,-.28,-.27,-.08,-.12,-.17,-.17,-.37,-.51,-.27,-.29,-.29,-.22,-.45,-.12,-.35
1899,-.13,-.65,-.59,-.23,-.25,-.36,-.17,-.07,-.05,.04,.35,-.48,-.21,-.20,-.35,-.36,-.20,.12
1900,-.62,-.14,.05,-.10,-.04,-.09,-.12,-.08,-.03,.23,-.12,-.03,-.09,-.13,-.41,-.03,-.10,.02
1901,-.34,-.10,.27,.10,-.12,.01,.01,-.16,-.28,-.33,-.23,-.42,-.13,-.10,-.16,.08,-.05,-.28
1902,-.18,.01,-.39,-.39,-.39,-.36,-.33,-.28,-.34,-.30,-.45,-.60,-.33,-.32,-.19,-.39,-.33,-.36
1903,-.22,.12,-.15,-.46,-.43,-.45,-.43,-.55,-.50,-.50,-.43,-.57,-.38,-.38,-.23,-.35,-.48,-.47
1904,-.77,-.60,-.41,-.50,-.44,-.48,-.59,-.54,-.63,-.39,-.08,-.34,-.48,-.50,-.65,-.45,-.54,-.37
1905,-.41,-.82,-.23,-.45,-.29,-.28,-.22,-.23,-.19,-.27,.09,-.17,-.29,-.30,-.52,-.32,-.24,-.13
1906,-.56,-.54,-.21,.04,-.25,-.11,-.27,-.17,-.25,-.18,-.40,.02,-.24,-.26,-.42,-.14,-.18,-.28
1907,-.59,-.73,-.31,-.45,-.59,-.51,-.40,-.39,-.41,-.20,-.56,-.59,-.48,-.43,-.43,-.45,-.43,-.39
1908,-.54,-.28,-.70,-.48,-.28,-.30,-.36,-.57,-.31,-.45,-.63,-.55,-.46,-.46,-.47,-.49,-.41,-.47
1909,-.93,-.45,-.66,-.65,-.49,-.52,-.45,-.36,-.37,-.35,-.12,-.58,-.49,-.49,-.65,-.60,-.44,-.28
1910,-.35,-.37,-.49,-.41,-.30,-.44,-.38,-.40,-.43,-.32,-.58,-.81,-.44,-.42,-.43,-.40,-.41,-.44
1911,-.71,-.59,-.65,-.45,-.45,-.34,-.37,-.44,-.38,-.20,-.20,-.30,-.42,-.47,-.70,-.52,-.38,-.26
1912,-.34,-.17,-.60,-.16,-.12,-.14,-.52,-.77,-.83,-.84,-.51,-.57,-.46,-.44,-.27,-.29,-.48,-.73
1913,-.56,-.64,-.48,-.50,-.54,-.49,-.51,-.47,-.43,-.40,-.15,.10,-.42,-.48,-.59,-.51,-.49,-.32
1914,.17,-.11,-.36,-.39,-.19,-.23,-.34,-.28,-.31,-.01,-.23,-.06,-.20,-.18,.05,-.31,-.28,-.18
1915,-.26,-.10,-.24,.07,-.02,-.13,-.10,-.16,-.22,-.28,-.04,-.27,-.15,-.13,-.14,-.06,-.13,-.18
1916,-.10,-.17,-.39,-.35,-.36,-.51,-.34,-.38,-.50,-.36,-.47,-1.14,-.42,-.35,-.18,-.37,-.41,-.44
1917,-.54,-.69,-.76,-.65,-.74,-.50,-.33,-.41,-.32,-.64,-.32,-1.06,-.58,-.59,-.79,-.72,-.41,-.43
1918,-.70,-.46,-.26,-.60,-.49,-.46,-.35,-.37,-.27,-.05,-.22,-.56,-.40,-.44,-.74,-.45,-.39,-.18
1919,-.39,-.42,-.39,-.24,-.43,-.40,-.34,-.31,-.20,-.10,-.48,-.56,-.35,-.35,-.46,-.35,-.35,-.26
1920,-.15,-.29,-.01,-.21,-.22,-.27,-.26,-.32,-.36,-.41,-.46,-.72,-.30,-.29,-.33,-.14,-.28,-.41
1921,.18,-.09,-.12,-.18,-.25,-.15,-.03,-.30,-.18,-.01,-.10,-.13,-.11,-.16,-.21,-.18,-.16,-.09
1922,-.38,-.63,-.12,-.16,-.20,-.16,-.29,-.37,-.44,-.33,-.14,-.15,-.28,-.28,-.38,-.16,-.27,-.31
1923,-.19,-.47,-.39,-.53,-.39,-.25,-.30,-.28,-.18,.05,.15,.08,-.22,-.24,-.27,-.44,-.27,.01
1924,-.29,-.22,.02,-.29,-.06,-.20,-.23,-.27,-.23,-.24,.10,-.37,-.19,-.15,-.14,-.11,-.23,-.13
